instance,horizon,employees,shifts,greedy_pen,greedy_feasible,greedy_violations,greedy_time,mip_pen,mip_status,mip_feasible,mip_time
1,14,8,1,1520,False,7,0.0,607,OPTIMAL,True,1.0
2,14,14,2,1970,False,23,0.0,828,FEASIBLE,True,60.0
3,14,20,3,2775,False,37,0.001,1001,FEASIBLE,True,60.0
4,28,10,2,3286,False,51,0.001,1522,FEASIBLE,True,60.0
5,28,16,2,4126,False,79,0.001,837,FEASIBLE,True,60.0
6,28,18,3,5236,False,65,0.001,1935,FEASIBLE,True,60.1
7,28,20,3,2827,False,60,0.001,1160,FEASIBLE,True,60.1
8,28,30,4,5276,False,95,0.003,1932,FEASIBLE,True,60.1
9,28,36,4,2276,False,104,0.005,541,FEASIBLE,True,60.2
10,28,40,5,8775,False,177,0.004,4841,FEASIBLE,True,60.2
11,28,50,6,7435,False,224,0.006,3469,FEASIBLE,True,60.3
12,28,60,10,10343,False,267,0.012,4699,FEASIBLE,True,60.7
13,28,120,18,9386,False,519,0.042,5280,FEASIBLE,True,62.7
14,42,32,4,4095,False,180,0.005,1550,FEASIBLE,True,60.2
15,42,45,6,7708,False,303,0.011,6185,FEASIBLE,True,60.4
16,56,20,3,9195,False,175,0.003,3819,FEASIBLE,True,60.1
17,56,32,4,11324,False,354,0.007,7215,FEASIBLE,True,60.2
18,84,22,3,11535,False,328,0.006,4686,FEASIBLE,True,60.3
19,84,40,5,10735,False,619,0.015,6228,FEASIBLE,True,60.6
20,182,50,6,24464,False,1372,0.062,26578,FEASIBLE,True,61.6
21,182,100,8,52420,False,2877,0.151,140709,FEASIBLE,True,65.2
22,364,50,10,61878,False,2939,0.161,148826,FEASIBLE,True,66.7
23,364,100,16,77162,False,6225,0.577,N/A,UNKNOWN,False,93.7
24,364,150,32,78177,False,8361,2.088,N/A,UNKNOWN,False,276.6
